date,code,open,high,low,close,preclose,volume,amount,pctChg,振幅
2023-03-30,sh.000300,4009.5573,4040.5023,3983.8958,4038.5257,4006.144,14990103700,280004715991.0,0.808301,1.413
2023-03-31,sh.000300,4045.4538,4063.5675,4039.9587,4050.9257,4038.5257,13884254600,279863685781.0,0.307043,0.5846
2023-04-03,sh.000300,4059.6227,4094.9376,4059.0607,4090.5676,4050.9257,18212431300,382895558426.0,0.978589,0.8856
2023-04-04,sh.000300,4089.2932,4103.1583,4080.0682,4103.1052,4090.5676,19714663100,394443175146.2,0.3065,0.5645
2023-04-06,sh.000300,4084.132,4098.8332,4078.4048,4096.64,4103.1052,15070337400,328981851588.3,-0.157568,0.4979
2023-04-07,sh.000300,4096.9009,4131.3126,4092.1848,4123.2799,4096.64,12867673800,286567771883.1,0.650287,0.9551
2023-04-10,sh.000300,4132.0096,4132.2952,4099.0519,4104.8118,4123.2799,15245300200,340822557207.6,-0.447898,0.8062
2023-04-11,sh.000300,4108.5062,4116.1247,4083.4946,4100.1479,4104.8118,15390133300,324192951998.7,-0.11362,0.7949
2023-04-12,sh.000300,4102.3968,4108.2451,4090.2784,4097.2876,4100.1479,16596527800,325425226403.2,-0.069761,0.4382
2023-04-13,sh.000300,4081.3871,4088.8809,4059.5744,4068.9786,4097.2876,15644429500,300291020752.9,-0.690921,0.7153
2023-04-14,sh.000300,4078.9703,4098.2151,4075.2049,4091.9988,4068.9786,15069568200,306201501438.7,0.565749,0.5655
2023-04-17,sh.000300,4090.0719,4149.3836,4089.509,4149.3836,4091.9988,18877309500,341831272792.7,1.402366,1.4632
2023-04-18,sh.000300,4139.3088,4169.6678,4138.4618,4162.032,4149.3836,17018413000,331545662315.6,0.304826,0.7521
2023-04-19,sh.000300,4159.3938,4159.3938,4118.6261,4124.5589,4162.032,16255459200,312219504522.6,-0.900356,0.9795
2023-04-20,sh.000300,4122.9461,4125.8231,4094.0022,4113.0192,4124.5589,16270667700,332172409512.0,-0.27978,0.7715
2023-04-21,sh.000300,4114.2642,4114.2642,4031.9123,4032.5672,4113.0192,18080243500,347852011602.5,-1.956033,2.0022
2023-04-24,sh.000300,4031.303,4033.6367,3967.907,3982.6429,4032.5672,17009921700,328375614674.3,-1.238028,1.63
2023-04-25,sh.000300,3985.1055,3991.6868,3925.436,3962.6658,3982.6429,17255540900,331110619767.7,-0.501604,1.6635
2023-04-26,sh.000300,3950.2553,3975.6562,3934.6625,3959.2323,3962.6658,16270200600,322062811333.5,-0.086646,1.0345
2023-04-27,sh.000300,3948.0313,3999.1302,3942.8152,3988.4185,3959.2323,15382819500,304804002557.4,0.737168,1.4224
2023-04-28,sh.000300,3993.2561,4030.4469,3993.2561,4029.0858,3988.4185,17950848800,328936294025.2,1.019635,0.9325
2023-05-04,sh.000300,4013.4713,4035.7832,4001.1259,4030.2471,4029.0858,22758284600,345492506049.3,0.028823,0.8602
2023-05-05,sh.000300,4031.0946,4047.6015,3998.392,4016.8774,4030.2471,20662692400,307694489937.0,-0.331734,1.221
2023-05-08,sh.000300,4028.1056,4070.7724,4018.9608,4062.6624,4016.8774,25558308500,359539954170.1,1.139816,1.2898
2023-05-09,sh.000300,4065.439,4092.8501,4026.3886,4027.8754,4062.6624,27930604800,396422120420.6,-0.856261,1.6359
2023-05-10,sh.000300,4017.9358,4019.0587,3984.6287,3996.8695,4027.8754,20755270900,309484851741.1,-0.769783,0.8548
2023-05-11,sh.000300,4005.7823,4018.0579,3988.4816,3990.6637,3996.8695,14480461900,241052071431.6,-0.155267,0.74
2023-05-12,sh.000300,3987.769,3999.3831,3937.5274,3937.7622,3990.6637,14442172800,228992923388.1,-1.325632,1.55
2023-05-15,sh.000300,3938.83,3998.8872,3923.0317,3998.8872,3937.7622,17625736200,279531163508.4,1.552278,1.9264
2023-05-16,sh.000300,4002.5237,4005.015,3966.9921,3978.2054,3998.8872,13683327100,234840652671.0,-0.517189,0.9508
2023-05-17,sh.000300,3971.7017,3982.6044,3945.7137,3960.165,3978.2054,11844818500,205195685976.4,-0.453481,0.9273
2023-05-18,sh.000300,3965.5162,3982.7178,3939.5526,3956.0701,3960.165,13653394700,229134184412.9,-0.103402,1.09
2023-05-19,sh.000300,3946.2215,3967.2816,3928.316,3944.5403,3956.0701,12021247900,207094944781.3,-0.291446,0.985
2023-05-22,sh.000300,3941.0015,3985.4031,3935.8015,3969.3277,3944.5403,10911660500,202185550245.9,0.628398,1.2575
2023-05-23,sh.000300,3968.2346,3971.939,3913.1882,3913.1882,3969.3277,11868507700,189955815340.0,-1.414333,1.4801
2023-05-24,sh.000300,3903.7818,3903.7818,3859.0935,3859.0935,3913.1882,13725826500,211768410520.2,-1.382369,1.142
2023-05-25,sh.000300,3851.4053,3861.3815,3817.8365,3850.4996,3859.0935,12415077000,213313620055.3,-0.222692,1.1284
2023-05-26,sh.000300,3848.4174,3859.6291,3815.5701,3850.9511,3850.4996,10032643900,191537814872.5,0.011726,1.1442
2023-05-29,sh.000300,3862.0838,3866.7238,3819.1822,3833.9416,3850.9511,13185996700,230095604813.4,-0.441696,1.2345
2023-05-30,sh.000300,3827.7924,3844.0052,3789.2736,3837.7531,3833.9416,13761962900,244566265534.9,0.099415,1.4276
2023-05-31,sh.000300,3827.1634,3827.1634,3781.4034,3798.5434,3837.7531,12638736800,235606123947.6,-1.021684,1.1924
2023-06-01,sh.000300,3788.5902,3832.2051,3786.7344,3806.8679,3798.5434,13456188100,241829546409.4,0.21915,1.1971
2023-06-02,sh.000300,3821.6198,3865.2843,3821.6198,3861.8337,3806.8679,12501511000,232696547130.8,1.443859,1.147
2023-06-05,sh.000300,3860.5557,3860.5557,3832.4578,3844.2492,3861.8337,11616398900,211144360143.7,-0.455341,0.7276
2023-06-06,sh.000300,3840.4587,3867.8452,3802.8449,3808.1629,3844.2492,12578125800,222091722592.2,-0.938709,1.6908
2023-06-07,sh.000300,3815.4823,3823.1124,3780.1021,3789.3418,3808.1629,9886243200,189879792179.6,-0.49423,1.1294
2023-06-08,sh.000300,3791.0826,3834.3888,3777.7752,3820.1867,3789.3418,11870093400,199119300649.7,0.813991,1.494
2023-06-09,sh.000300,3822.4088,3836.7026,3811.2189,3836.7026,3820.1867,13431986300,247296087070.9,0.432332,0.6671
2023-06-12,sh.000300,3827.3253,3859.7156,3813.8577,3844.4324,3836.7026,12675854300,240791270473.5,0.20147,1.1952
